timestep,demand_el,
764,326933.3981,
765,311804.2593,
766,299739.7172,
767,291741.3043,
768,277189.085,
769,267792.219,
770,262895.3257,
771,257255.36,
772,252183.0831,
773,253738.4583,
774,261718.4098,
775,283733.6606,
776,313678.0941,
777,325733.4054,
778,328128.7755,
779,332277.9811,
780,337654.8715,
781,339011.7863,
782,341601.0013,
783,340396.3933,
784,338716.4035,
785,335748.7292,
786,345187.1334,
787,352391.705,
788,343617.9122,
789,324750.3345,
790,307128.9031,
791,296199.7387,
792,280156.7593,
793,265858.3846,
794,254393.8389,
795,247540.0344,
796,251407.7032,
797,256055.3673,
798,259784.5754,
799,282552.1293,
800,316345.7702,
801,328433.389,
802,330796.4516,
803,335748.7292,
804,340396.3933,
805,339441.0145,
806,337493.334,
807,332614.9021,
808,330062.6099,
809,326933.3981,
810,336394.8791,
811,347873.2709,
812,337059.4905,
813,315505.7753,
814,298742.8002,
815,288210.5565,
816,269190.6721,
817,255044.6042,
818,250960.0136,
819,249192.332,
820,247055.422,
821,246330.811,
822,253673.8433,
823,277636.7746,
824,307871.9755,
825,316078.0795,
826,316581.1534,
827,318090.375,
828,319336.5212,
829,316539.6151,
830,313691.9401,
831,309228.8903,
832,307068.9035,
833,303690.4624,
834,315902.6959,
835,330279.5317,
836,323287.2665,
837,306985.827,
838,292950.5277,
839,283885.9674,
840,264953.7747,
841,251781.5471,
842,246409.272,
843,243963.133,
844,244867.7429,
845,250115.4034,
846,256586.1333,
847,278832.152,
848,309930.4245,
849,318607.2949,
850,317850.3764,
851,321708.8145,
852,323407.2657,
853,321782.6602,
854,314919.625,
855,307908.8984,
856,303215.0807,
857,301045.8631,
858,314878.0868,
859,322973.4222,
860,313705.7862,
861,295461.2817,
862,280253.6818,
863,274512.1782,
864,258247.6616,
865,243783.1341,
866,234709.3431,
867,227518.6176,
868,225649.3982,
869,224010.9466,
870,222404.8025,
871,217558.6781,
872,227777.0775,
873,243150.8303,
874,259203.0404,
875,267542.9898,
876,272204.4999,
877,268724.5211,
878,261473.7959,
879,255575.3702,
880,253383.0758,
881,254426.1464,
882,268489.1379,
883,280992.1388,
884,272495.2674,
885,255399.9866,
886,245583.1232,
887,247660.0337,
888,236001.643,
889,221740.1912,
890,213178.7047,
891,209144.8831,
892,209620.2648,
893,208420.2721,
894,203541.8402,
895,191601.9127,
896,194721.8938,
897,204667.9872,
898,218426.3651,
899,230873.9818,
900,243944.6716,
901,242601.6029,
902,232632.4327,
903,226037.0881,
904,223946.3316,
905,225787.8589,
906,241747.7619,
907,261999.9465,
908,259369.1933,
909,250433.863,
910,244803.1279,
911,250004.6348,
912,239112.3933,
913,235443.1848,
914,230500.1379,
915,227804.7697,
916,227154.0044,
917,227818.6158,
918,237797.0167,
919,269453.7474,
920,303828.9231,
921,315787.312,
922,319567.2891,
923,323836.4939,
924,327334.9342,
925,325525.7144,
926,323070.3447,
927,317384.2254,
928,313895.0158,
929,308379.6647,
930,317162.6883,
931,330865.6819,
932,324976.487,
933,309598.1189,
934,295341.2824,
935,288464.4011,
936,270907.5847,
937,260481.4942,
938,254864.6053,
939,253253.8458,
940,250650.7847,
941,250512.324,
942,257319.975,
943,280142.9132,
944,310018.1163,
945,320481.1297,
946,323181.1133,
947,321630.3534,
948,321247.2788,
949,326019.5575,
950,325202.6394,
951,322068.8123,
952,319913.4408,
953,314268.8597,
954,322673.424,
955,333639.5112,
956,326573.4003,
957,312778.0995,
958,301987.3959,
959,293070.527,
960,277359.8532,
961,266513.7653,
962,258815.3505,
963,255123.0652,
964,252653.8495,
965,254827.6824,
966,261127.6441,
967,282838.2815,
968,310756.5734,
969,319488.828,
970,321981.1205,
971,326619.5539,
972,330644.1448,
973,330127.2249,
974,327699.5473,
975,324441.1056,
976,323328.8047,
977,317476.5325,
978,324921.1027,
979,337507.1801,
980,332213.3661,
981,316488.8462,
982,305028.9159,
983,298013.5739,
984,281910.5948,
985,270690.663,
986,263850.7045,
987,257389.2053,
988,258801.5044,
989,259747.6525,
990,264455.3162,
991,287259.7931,
992,313258.0966,
993,322138.0427,
994,326167.249,
995,332407.211,
996,336210.2649,
997,335236.4246,
998,333685.6648,
999,329014.924,
1000,324496.4899,
1001,315921.1574,
1002,322414.9641,
1003,335914.882,
1004,330994.9119,
1005,315030.3935,
1006,302088.9337,
1007,296933.5804,
1008,287476.7148,
1009,273999.8736,
1010,264270.702,
1011,261404.5655,
1012,257795.3567,
1013,257536.8967,
1014,261146.1056,
1015,281204.4452,
1016,306667.3674,
1017,316244.2323,
1018,321330.3553,
1019,324565.7202,
1020,329014.924,
1021,328807.2329,
1022,322747.2697,
1023,315025.7782,
1024,310387.3448,
1025,306344.2925,
1026,313867.3237,
1027,330002.6103,
1028,323264.1897,
1029,304982.7623,
1030,291552.0747,
1031,287098.2556,
1032,273409.108,
1033,262489.1743,
1034,252796.9255,
1035,244309.2848,
1036,240884.6902,
1037,237607.787,
1038,232586.2791,
1039,226374.0092,
1040,230315.5237,
1041,243690.827,
1042,259895.3439,
1043,270441.4337,
1044,276164.4759,
1045,275292.1735,
1046,267750.6808,
1047,259969.1896,
1048,257273.8214,
1049,254564.6071,
1050,266564.5342,
1051,285044.4219,
1052,277872.1578,
1053,262184.5608,
1054,254541.5303,
1055,256581.5179,
1056,249076.9481,
1057,236352.4101,
1058,228667.8414,
1059,224827.8647,
1060,223314.0277,
1061,220009.4324,
1062,214212.5446,
1063,201464.9297,
1064,201169.5469,
1065,211812.5592,
1066,225672.475,
1067,238715.4726,
1068,250627.7079,
1069,247812.3404,
1070,237173.9435,
1071,229710.912,
1072,226895.5444,
1073,226281.702,
1074,238161.6298,
1075,263236.8621,
1076,262983.0175,
1077,254703.0678,
1078,251264.6271,
1079,258206.1234,
1080,249598.4834,
1081,241812.3769,
1082,238650.8576,
1083,235470.877,
1084,233029.3533,
1085,232983.1998,
1086,238217.0141,
1087,254103.0714,
1088,280516.7571,
1089,294833.5932,
1090,303976.6146,
1091,308596.5865,
1092,313055.0209,
1093,311176.5708,
1094,306967.3656,
1095,301641.2441,
1096,298355.1103,
1097,293301.2948,
1098,299416.6423,
1099,317550.3782,
1100,314259.629,
1101,301193.5545,
1102,290716.6951,
1103,285602.88,
1104,270012.2055,
1105,257283.0521,
1106,252183.0831,
1107,250175.403,
1108,247036.9605,
1109,249376.9463,
1110,252524.6195,
1111,272762.9581,
1112,297510.5,
1113,306238.1393,
1114,310913.4955,
1115,313913.4773,
1116,316641.153,
1117,312136.565,
1118,304927.378,
1119,297164.3483,
1120,293781.2919,
1121,291441.3061,
1122,300796.6339,
1123,323490.3421,
1124,322456.5023,
1125,308236.5887,
1126,296476.6601,
1127,291044.3854,
1128,274862.9453,
1129,266509.1499,
1130,263218.4007,
1131,257047.6689,
1132,253581.5361,
1133,255358.4484,
1134,259378.424,
1135,280987.5235,
1136,306482.7532,
1137,313382.7112,
1138,315528.8521,
1139,315953.4649,
1140,319248.8295,
1141,317670.3775,
1142,314601.1654,
1143,312191.9493,
1144,310391.9602,
1145,307045.8267,
1146,314421.1665,
1147,333048.7456,
1148,327953.3919,
1149,311490.4151,
1150,298913.5684,
1151,289401.3185,
1152,272564.4977,
1153,259752.2679,
1154,251135.3972,
1155,247013.8837,
1156,244909.2811,
1157,248804.6421,
1158,253535.3826,
1159,277161.3929,
1160,304756.6098,
1161,313318.0963,
1162,316894.9976,
1163,322424.1948,
1164,325064.1787,
1165,323536.4957,
1166,318971.9081,
1167,313604.2484,
1168,308471.9719,
1169,302250.4712,
1170,309238.121,
1171,328008.7762,
1172,325299.5619,
1173,309182.7368,
1174,296292.0459,
1175,287052.102,
1176,269942.9752,
1177,257910.7406,
1178,251776.9317,
1179,247816.9558,
1180,246400.0413,
1181,248578.4896,
1182,251689.2399,
1183,274046.0272,
1184,303307.3879,
1185,314984.24,
1186,317707.3004,
1187,320568.8214,
1188,322211.8884,
1189,318445.7574,
1190,312210.4107,
1191,306261.2161,
1192,302499.7005,
1193,298955.1066,
1194,307156.5952,
1195,322271.888,
1196,317231.9186,
1197,297265.8861,
1198,283835.1985,
1199,278518.3077,
1200,262553.7893,
1201,249123.1017,
1202,243072.3692,
1203,237487.7878,
1204,235087.8024,
1205,237321.6349,
1206,233777.0411,
1207,228243.2286,
1208,235272.4166,
1209,248670.7968,
1210,258496.8909,
1211,263643.0135,
1212,266956.8395,
1213,270072.2052,
1214,263190.7085,
1215,256184.5973,
1216,253567.6901,
1217,252229.2367,
1218,262023.0233,
1219,284772.1159,
1220,282229.0544,
1221,265323.0033,
1222,256553.8258,
1223,255663.062,
1224,243806.2109,
1225,232867.8158,
1226,221763.2679,
1227,217046.3735,
1228,215024.8473,
1229,212384.8634,
1230,210441.7983,
1231,201501.8526,
1232,204931.0625,
1233,210940.2568,
1234,218707.9019,
1235,228580.1496,
1236,238987.7787,
1237,236592.4086,
1238,227181.6966,
1239,219778.6646,
1240,217226.3724,
1241,219206.3604,
1242,233260.1212,
1243,262466.0975,
1244,263296.8617,
1245,254619.9914,
1246,249884.6355,
1247,252460.0045,
1248,240197.0021,
1249,231533.9778,
1250,226780.1605,
1251,226466.3163,
1252,226447.8549,
1253,230426.2922,
1254,236786.2536,
1255,269633.7463,
1256,299578.1797,
1257,310567.3437,
1258,312828.8685,
1259,314735.0107,
1260,319078.0613,
1261,317125.7654,
1262,313405.788,
1263,307964.2826,
1264,304133.5367,
1265,299181.2591,
1266,307535.0545,
1267,330634.9141,
1268,327634.9323,
1269,310784.2655,
1270,296698.1972,
1271,287421.3305,
1272,270427.5876,
1273,256203.0587,
1274,250253.8641,
1275,247235.4209,
1276,246353.8878,
1277,249423.0999,
1278,254961.5278,
1279,281430.5977,
1280,306861.2124,
1281,315616.5438,
1282,316064.2334,
1283,318307.2967,
1284,322165.7348,
1285,320176.5161,
1286,318482.6803,
1287,313650.4019,
1288,310978.1105,
1289,304622.7645,
1290,308924.2768,
1291,326185.7104,
1292,323905.7242,
1293,306413.5228,
1294,291427.46,
1295,281144.4456,
1296,262867.6336,
1297,247886.1861,
1298,240635.461,
1299,238184.7066,
1300,236633.9468,
1301,239467.7757,
1302,248329.2604,
1303,275795.2473,
1304,303478.156,
1305,312168.8725,
1306,310433.4984,
1307,311181.1862,
1308,313248.8659,
1309,310387.3448,
1310,306828.9049,
1311,301092.0167,
1312,298982.7987,
1313,294888.9775,
1314,302296.6248,
1315,323208.8054,
1316,322664.1933,
1317,307193.5181,
1318,291861.3036,
1319,279745.9926,
1320,260153.8039,
1321,241840.069,
1322,237026.2521,
1323,236666.2543,
1324,239066.2397,
1325,243146.2149,
1326,249815.4052,
1327,276224.4755,
1328,301539.7063,
1329,309455.0428,
1330,306699.6749,
1331,308167.3583,
1332,306939.6735,
1333,305291.9912,
1334,304313.5356,
1335,299379.7194,
1336,298493.5709,
1337,295405.8974,
1338,304295.0742,
1339,322724.193,
1340,320287.2847,
1341,305273.5298,
1342,290947.463,
1343,280442.9114,
1344,259456.8851,
1345,243663.1349,
1346,234021.655,
1347,232207.8199,
1348,232840.1237,
1349,235664.7219,
1350,242140.0672,
1351,265899.9228,
1352,292438.2231,
1353,304401.2274,
1354,306062.7557,
1355,306210.4471,
1356,307442.7473,
1357,304151.9981,
1358,298368.9563,
1359,293236.6798,
1360,291565.9207,
1361,289184.3967,
1362,294838.2085,
1363,311610.4143,
1364,309067.3529,
1365,294722.8246,
1366,281749.0573,
1367,274170.6418,
1368,258224.5849,
1369,247198.498,
1370,238853.9333,
1371,239758.5432,
1372,240746.2295,
1373,240229.3096,
1374,234381.6528,
1375,231192.4414,
1376,235535.4919,
1377,246695.4241,
1378,255127.6806,
1379,257610.7424,
1380,258141.5084,
1381,255363.0638,
1382,248943.1028,
1383,238567.7812,
1384,237510.8646,
1385,238341.6287,
1386,246672.3474,
1387,270399.8955,
1388,271502.9657,
1389,254329.2239,
1390,241936.9915,
1391,239532.3907,
1392,226923.2366,
1393,212255.6334,
1394,199794.1707,
1395,194634.202,
1396,196724.9585,
1397,201474.1604,
1398,201728.0051,
1399,197020.3414,
1400,197209.571,
1401,207917.1982,
1402,220526.3524,
1403,232230.8966,
1404,242080.0676,
1405,239998.5418,
1406,232992.4305,
1407,228760.1485,
1408,229152.4538,
1409,233975.5014,
1410,244503.1298,
1411,267792.219,
1412,274152.1804,
1413,264053.7802,
1414,260370.7257,
1415,263509.1681,
1416,251227.7043,
1417,244207.7469,
1418,239121.624,
1419,235941.6433,
1420,237501.6338,
1421,242398.5272,
1422,253406.1526,
1423,283784.4296,
1424,308998.1225,
1425,315150.3928,
1426,314245.7829,
1427,314236.5522,
1428,316784.229,
1429,314342.7054,
1430,312579.6392,
1431,309155.0446,
1432,307567.362,
1433,304987.3776,
1434,311956.5661,
1435,330847.2205,
1436,335850.267,
1437,318874.9856,
1438,304779.6866,
1439,295710.5109,
1440,276459.8587,
1441,264783.0065,
1442,260823.0306,
1443,258792.2737,
1444,257753.8185,
1445,258058.432,
1446,264658.3919,
1447,293993.5983,
1448,319322.6752,
1449,328696.4644,
1450,327205.7042,
1451,325281.1005,
1452,327833.3927,
1453,327307.242,
1454,324953.4102,
1455,320462.6682,
1456,317236.534,
1457,312191.9493,
1458,313576.5562,
1459,331977.9829,
1460,335711.8063,
1461,318542.6799,
1462,303870.4614,
1463,292959.7584,
1464,273690.6447,
1465,263416.861,
1466,256812.2857,
1467,255866.1376,
1468,255893.8298,
1469,259918.4207,
1470,264519.9312,
1471,290301.313,
1472,311361.1851,
1473,317984.2218,
1474,314933.4711,
1475,313913.4773,
1476,313179.6356,
1477,307479.6702,
1478,304604.303,
1479,302148.9334,
1480,302245.8558,
1481,302033.5494,
1482,311956.5661,
1483,334613.3515,
1484,337437.9497,
